,DataID,Gender,Race,Age,Father's Birthplace,Occupation,Can Read,Can Write,Attended School,continent,industry
1219040,4449605_00597,Male,Black,25.0,West Indies,Operator,Yes,Yes,,SouthAmerica,workers
1219096,4449605_00598,Male,Black,23.0,West Indies,Operator,Yes,Yes,,SouthAmerica,workers
1219101,4449605_00598,Male,Black,23.0,West Indies,Operator,Yes,Yes,,SouthAmerica,workers
1219104,4449605_00597,Male,Black,22.0,West Indies,Operator,Yes,Yes,,SouthAmerica,workers
1219360,4449605_00603,Male,Black,31.0,West Indies,Operator,Yes,Yes,,SouthAmerica,workers
1219361,4449605_00603,Male,Black,31.0,West Indies,Operator,Yes,Yes,,SouthAmerica,workers
1219369,4449605_00603,Female,Black,30.0,West Indies,Dressmaker,Yes,Yes,,SouthAmerica,Proprietor
1219397,4449605_00603,Male,White,24.0,Canada,Bookkeeper,Yes,Yes,,NorthAmerica,paperworker
1219492,4449605_00603,Male,Black,28.0,West Indies,Clerk,Yes,Yes,,SouthAmerica,paperworker
1219507,4449605_00600,Male,Black,32.0,West Indies,Waiter,Yes,Yes,,SouthAmerica,servant
1219528,4449605_00601,Male,Mulatto,34.0,Cuba,Barber,Yes,Yes,,SouthAmerica,Proprietor
1219531,4449605_00601,Female,Black,25.0,West Indies,Waiter,Yes,Yes,,SouthAmerica,servant
1219588,4449605_00602,Male,Black,22.0,West Indies,Operator,Yes,Yes,,SouthAmerica,workers
1219908,4449605_00733,Male,Black,19.0,West Indies,Operator,Yes,Yes,No,SouthAmerica,workers
1219910,4449605_00733,Female,Black,13.0,West Indies,Waiter,Yes,Yes,No,SouthAmerica,servant
1219934,4449605_00733,Male,Black,22.0,West Indies,Carpenter,Yes,Yes,,SouthAmerica,Proprietor
1219935,4449605_00733,Male,Black,30.0,West Indies,Porter,Yes,Yes,,SouthAmerica,servant
1219937,4449605_00733,Male,Black,22.0,West Indies,Carpenter,Yes,Yes,,SouthAmerica,Proprietor
1220243,4449605_00741,Male,White,17.0,Canada,Clerk,Yes,Yes,,NorthAmerica,paperworker
1220244,4449605_00741,Male,White,30.0,Canada,Clerk,Yes,Yes,,NorthAmerica,paperworker
1220246,4449605_00741,Male,White,60.0,Canada,Machinist,Yes,Yes,,NorthAmerica,engineer
1220255,4449605_00741,Female,White,20.0,West Indies,Dressmaker,Yes,Yes,No,SouthAmerica,Proprietor
1220326,4449605_00743,Male,Black,34.0,Cuba,Barber,Yes,Yes,,SouthAmerica,Proprietor
1220393,4449605_00742,Female,White,30.0,West Indies,Dressmaker,Yes,Yes,,SouthAmerica,Proprietor
1220394,4449605_00742,Male,Black,37.0,West Indies,Porter,Yes,Yes,,SouthAmerica,servant
1221070,4449605_00909,Male,White,45.0,West Indies,Porter,Yes,Yes,,SouthAmerica,servant
1221231,4449605_00881,Female,White,21.0,Canada,Stenographer,Yes,Yes,,NorthAmerica,paperworker
1221467,4449605_00877,Male,White,24.0,Canada,Carpenter,Yes,Yes,,NorthAmerica,Proprietor
1221502,4449605_00890,Male,Black,42.0,Cuba,Cigar Maker,Yes,Yes,No,SouthAmerica,Proprietor
1221509,4449605_00891,Male,Black,40.0,West Indies,Carpenter,Yes,Yes,,SouthAmerica,Proprietor
1221526,4449605_00890,Male,Black,28.0,West Indies,Porter,Yes,Yes,No,SouthAmerica,servant
1221545,4449605_00889,Male,White,38.0,Canada,Laborer,Yes,Yes,,NorthAmerica,workers
1221869,4449605_00933,Female,White,26.0,Canada,Cook,Yes,Yes,,NorthAmerica,workers
1222268,4449605_00940,Female,White,17.0,Canada,Saleslady,Yes,Yes,No,NorthAmerica,servant
1222270,4449605_00940,Male,White,39.0,Canada,Salesman,Yes,Yes,,NorthAmerica,servant
1222663,4449605_00920,Male,Black,41.0,West Indies,Laborer,Yes,Yes,,SouthAmerica,workers
1222665,4449605_00920,Female,Black,35.0,West Indies,Dressmaker,Yes,Yes,,SouthAmerica,Proprietor
1222730,4449605_00920,Male,Black,42.0,West Indies,Porter,Yes,Yes,,SouthAmerica,servant
