DataID,Gender,Race,Age,Father's Birthplace,Occupation,Can Read,Can Write,Attended School,continent,industry,count
31776_4449719-00987,Male,Chinese,26.0,China,Presser,Yes,Yes,,Aisa,workers,1
31776_4449719-00851,Male,Chinese,42.0,China,Cook,Yes,Yes,,Aisa,workers,1
4449605_00498,Female,Black,16.0,West Indies,Servant,Yes,Yes,No,SouthAmerica,servant,1
4449605_00526,Male,Mulatto,34.0,West Indies,Waiter,Yes,Yes,,SouthAmerica,servant,1
4449605_00531,Male,White,25.0,Cuba,Salesman,Yes,Yes,,SouthAmerica,servant,1
4449605_00526,Male,Black,28.0,West Indies,Cook,Yes,Yes,,SouthAmerica,workers,1
4449605_00526,Male,Black,23.0,West Indies,Waiter,Yes,Yes,,SouthAmerica,servant,1
4449605_00526,Male,Black,27.0,West Indies,Carpenter,Yes,Yes,,SouthAmerica,Proprietor,1
4449605_00434,Female,White,30.0,Canada,Dressmaker,Yes,Yes,,NorthAmerica,Proprietor,1
4449605_00448,Male,White,50.0,Canada,Painter,Yes,Yes,,NorthAmerica,artist,1
4449605_00448,Female,White,18.0,Canada,Saleslady,Yes,Yes,,NorthAmerica,servant,1
4449605_00417,Male,White,29.0,Canada,Machinist,Yes,Yes,No,NorthAmerica,engineer,1
4449605_00418,Female,White,41.0,Canada,Dressmaker,Yes,Yes,No,NorthAmerica,Proprietor,1
4449605_00430,Female,White,25.0,Canada,Housework,Yes,Yes,,NorthAmerica,servant,1
4449605_00426,Male,White,29.0,Canada,Clerk,Yes,Yes,,NorthAmerica,paperworker,1
4449605_00426,Male,White,21.0,Canada,Clerk,Yes,Yes,,NorthAmerica,paperworker,1
4449605_00472,Female,White,35.0,Cuba,Helper,Yes,Yes,,SouthAmerica,Helper,1
4449605_00470,Male,White,25.0,Canada,Stenographer,Yes,Yes,,NorthAmerica,paperworker,1
4449605_00475,Female,Black,40.0,Cuba,Cook,Yes,Yes,,SouthAmerica,workers,1
4449605_00475,Male,Black,46.0,Cuba,Waiter,Yes,Yes,,SouthAmerica,servant,1
4449605_00475,Male,Black,48.0,West Indies,Porter,Yes,Yes,,SouthAmerica,servant,1
4449605_00457,Male,Black,28.0,South America,Clerk,Yes,Yes,,South America,paperworker,1
4449605_00456,Male,Black,36.0,West Indies,Porter,Yes,Yes,,SouthAmerica,servant,1
4449605_00456,Female,Black,34.0,West Indies,Dressmaker,Yes,Yes,,SouthAmerica,Proprietor,1
4449605_00456,Female,Black,65.0,Cuba,Dressmaker,Yes,Yes,,SouthAmerica,Proprietor,1
4449605_00456,Male,Black,26.0,West Indies,Porter,Yes,Yes,,SouthAmerica,servant,1
4449605_00454,Male,Black,32.0,West Indies,Porter,Yes,Yes,,SouthAmerica,servant,1
4449605_00455,Male,Black,32.0,Cuba,Cook,Yes,Yes,,SouthAmerica,workers,1
4449605_00455,Female,White,34.0,Cuba,Dressmaker,No,No,,SouthAmerica,Proprietor,1
4449605_00455,Female,Black,42.0,Cuba,Cook,No,No,,SouthAmerica,workers,1
4449605_00454,Male,Black,27.0,Cuba,Cook,Yes,Yes,,SouthAmerica,workers,1
4449605_00463,Female,White,59.0,Newfoundland,Housework,Yes,Yes,,NorthAmerica,servant,1
4449605_00653,Male,White,18.0,Canada,Clerk,Yes,Yes,No,NorthAmerica,paperworker,1
4449605_00666,Male,White,17.0,Canada,Clerk,Yes,Yes,No,NorthAmerica,paperworker,1
4449605_00650,Male,White,66.0,Canada,Salesman,Yes,Yes,,NorthAmerica,servant,1
4449605_00644,Male,White,19.0,Canada,Clerk,Yes,Yes,,NorthAmerica,paperworker,1
4449605_00644,Male,White,49.0,Canada,Carpenter,Yes,Yes,,NorthAmerica,Proprietor,1
4449605_00696,Male,White,29.0,Australia,Salesman,Yes,Yes,,Oceania,servant,1
4449605_00675,Female,Black,41.0,West Indies,Housework,Yes,Yes,,SouthAmerica,servant,1
4449605_00681,Male,White,25.0,Canada,Cutter,Yes,Yes,,NorthAmerica,workers,1
4449605_00682,Male,White,19.0,Canada,Clerk,Yes,Yes,No,NorthAmerica,paperworker,1
4449605_00683,Female,White,30.0,Mexico,Cook,Yes,No,,SouthAmerica,workers,1
4449605_00683,Male,White,35.0,Canada,Salesman,Yes,Yes,,NorthAmerica,servant,1
4449605_00682,Male,White,44.0,Canada,Salesman,Yes,Yes,,NorthAmerica,servant,1
4449605_00678,Female,White,31.0,Canada,Stenographer,Yes,Yes,,NorthAmerica,paperworker,1
4449605_00679,Male,White,19.0,Canada,Machinist,Yes,Yes,No,NorthAmerica,engineer,1
4449605_00573,Female,Mulatto,24.0,West Indies,Dressmaker,Yes,Yes,,SouthAmerica,Proprietor,1
4449605_00573,Male,Mulatto,28.0,Montana,Waiter,Yes,Yes,,NorthAmerica,servant,1
4449605_00572,Male,Mulatto,40.0,West Indies,Porter,Yes,Yes,,SouthAmerica,servant,1
4449605_00573,Male,Mulatto,42.0,West Indies,Cook,Yes,Yes,,SouthAmerica,workers,1
4449605_00578,Male,Black,56.0,Canada,Cook,Yes,Yes,,NorthAmerica,workers,1
4449605_00579,Male,Black,35.0,West Indies,Cook,Yes,Yes,,SouthAmerica,workers,1
4449605_00580,Male,White,38.0,Cuba,Cigar Maker,Yes,Yes,,SouthAmerica,Proprietor,1
4449605_00575,Male,Black,37.0,West Indies,Cook,Yes,Yes,,SouthAmerica,workers,1
4449605_00575,Male,Mulatto,37.0,Cuba,Cigar Maker,Yes,Yes,,SouthAmerica,Proprietor,1
4449605_00574,Male,Black,48.0,West Indies,Porter,Yes,Yes,,SouthAmerica,servant,1
4449605_00576,Male,Black,45.0,Jamaica,Porter,Yes,Yes,,SouthAmerica,servant,1
4449605_00576,Male,Black,24.0,Canada,Porter,Yes,Yes,,NorthAmerica,servant,1
4449605_00553,Male,White,33.0,Canada,Machinist,Yes,Yes,,NorthAmerica,engineer,1
4449605_00556,Male,White,23.0,Peru,Machinist,Yes,Yes,,SouthAmerica,engineer,1
4449605_00626,Female,White,19.0,Canada,Clerk,Yes,Yes,No,NorthAmerica,paperworker,1
4449605_00616,Male,White,30.0,Canada,Clerk,Yes,Yes,,NorthAmerica,paperworker,1
4449605_00633,Male,White,27.0,West Indies,Clerk,Yes,Yes,,SouthAmerica,paperworker,1
4449605_00633,Male,White,22.0,West Indies,Clerk,Yes,Yes,,SouthAmerica,paperworker,1
4449605_00584,Male,Black,30.0,West Indies,Laborer,Yes,Yes,,SouthAmerica,workers,1
4449605_00584,Male,Black,32.0,West Indies,Laborer,Yes,Yes,,SouthAmerica,workers,1
4449605_00584,Male,Black,36.0,South America,Laborer,Yes,Yes,,South America,workers,1
4449605_00582,Male,White,,Canada,Salesman,Yes,Yes,,NorthAmerica,servant,1
4449605_00590,Male,Mulatto,22.0,Jamaica,Waiter,Yes,Yes,,SouthAmerica,servant,1
4449605_00590,Male,Black,39.0,Jamaica,Porter,Yes,Yes,,SouthAmerica,servant,1
4449605_00230,Male,White,52.0,Canada,Porter,Yes,Yes,,NorthAmerica,servant,1
4449605_00230,Male,White,23.0,Canada,Salesman,Yes,Yes,,NorthAmerica,servant,1
4449605_00235,Male,Japanese,28.0,Japan,Servant,Yes,Yes,,Aisa,servant,1
4449605_00217,Male,Black,24.0,West Indies,Operator,Yes,Yes,,SouthAmerica,workers,1
4449605_00217,Male,Black,35.0,West Indies,Operator,Yes,Yes,,SouthAmerica,workers,1
4449605_00217,Female,Mulatto,38.0,West Indies,Housework,Yes,Yes,,SouthAmerica,servant,1
4449605_00215,Female,White,20.0,Canada,Stenographer,Yes,Yes,No,NorthAmerica,paperworker,1
4449605_00213,Male,Black,44.0,West Indies,Porter,Yes,Yes,No,SouthAmerica,servant,1
4449605_00212,Male,Black,28.0,West Indies,Porter,Yes,Yes,No,SouthAmerica,servant,1
4449605_00223,Male,White,28.0,Japan,Servant,Yes,Yes,,Aisa,servant,1
4449605_00220,Male,Japanese,26.0,Japan,Servant,Yes,Yes,Yes,Aisa,servant,1
4449605_00275,Male,White,41.0,Canada,Waiter,Yes,Yes,,NorthAmerica,servant,1
4449605_00252,Female,White,31.0,West Indies,Servant,Yes,Yes,,SouthAmerica,servant,1
4449605_00163,Male,White,35.0,Canada,Salesman,Yes,Yes,,NorthAmerica,servant,1
4449605_00147,Male,White,55.0,West Indies,Salesman,Yes,Yes,,SouthAmerica,servant,1
4449605_00145,Male,White,33.0,Canada,Salesman,Yes,Yes,,NorthAmerica,servant,1
4449605_00368,Male,Chinese,34.0,China,Cook,Yes,Yes,,Aisa,workers,1
4449605_00361,Male,White,46.0,Cuba,Clerk,Yes,Yes,,SouthAmerica,paperworker,1
4449605_00378,Male,White,27.0,Canada,Cutter,Yes,Yes,,NorthAmerica,workers,1
4449605_00346,Female,White,21.0,Canada,Dressmaker,Yes,Yes,No,NorthAmerica,Proprietor,1
4449605_00396,Female,White,17.0,Cuba,Saleslady,Yes,Yes,No,SouthAmerica,servant,1
4449605_00396,Female,White,19.0,Cuba,Saleslady,Yes,Yes,No,SouthAmerica,servant,1
4449605_00396,Male,White,60.0,Cuba,Cigar Maker,Yes,Yes,,SouthAmerica,Proprietor,1
4449605_00397,Female,White,18.0,Canada,Dressmaker,Yes,Yes,No,NorthAmerica,Proprietor,1
4449605_00410,Male,Japanese,38.0,Japan,Servant,Yes,Yes,No,Aisa,servant,1
4449605_00404,Male,White,47.0,Canada,Stenographer,Yes,Yes,,NorthAmerica,paperworker,1
4449605_00410,Female,White,32.0,Canada,Stenographer,Yes,Yes,No,NorthAmerica,paperworker,1
4449605_00381,Male,White,25.0,West Indies,Operator,Yes,Yes,,SouthAmerica,workers,1
4449605_00382,Female,Black,23.0,West Indies,Servant,Yes,Yes,,SouthAmerica,servant,1
4449605_00382,Female,White,25.0,West Indies,Servant,Yes,Yes,,SouthAmerica,servant,1
4449605_00302,Female,White,18.0,Canada,Dressmaker,Yes,Yes,No,NorthAmerica,Proprietor,1
4449605_00309,Female,White,26.0,Canada,Stenographer,Yes,Yes,,NorthAmerica,paperworker,1
4449605_00309,Male,White,40.0,Venezuela,Painter,Yes,Yes,,SouthAmerica,artist,1
4449605_00310,Female,White,24.0,Mexico,Cook,No,No,,SouthAmerica,workers,1
4449605_00307,Male,White,19.0,Cuba,Clerk,Yes,Yes,,SouthAmerica,paperworker,1
4449605_00307,Male,White,20.0,Cuba,Clerk,Yes,Yes,,SouthAmerica,paperworker,1
4449605_00285,Female,White,37.0,Canada,Stenographer,Yes,Yes,,NorthAmerica,paperworker,1
4449605_00285,Male,White,26.0,Canada,Clerk,Yes,Yes,,NorthAmerica,paperworker,1
4449605_00291,Female,White,34.0,Canada,Stenographer,Yes,Yes,,NorthAmerica,paperworker,1
4449605_00291,Male,White,19.0,Canada,Salesman,Yes,Yes,No,NorthAmerica,servant,1
4449605_00329,Male,White,43.0,Canada,Clerk,Yes,Yes,,NorthAmerica,paperworker,1
4449605_00338,Male,Japanese,35.0,Japan,Waiter,Yes,Yes,,Aisa,servant,1
4449605_00338,Male,Japanese,30.0,Japan,Waiter,Yes,Yes,,Aisa,servant,1
4449605_00338,Male,Japanese,31.0,Japan,Cook,Yes,Yes,,Aisa,workers,1
4449605_00338,Male,Japanese,25.0,Japan,Cook,Yes,Yes,,Aisa,workers,1
